集計年,集計時期,大分類コード,大分類名,中分類コード,中分類名,単価（宿泊中）
2025,すべての期間,A,年齢,A01,9歳以下,48670
2025,すべての期間,A,年齢,A02,10代,51103
2025,すべての期間,A,年齢,A03,20代,55470
2025,すべての期間,A,年齢,A04,30代,69878
2025,すべての期間,A,年齢,A05,40代,73264
2025,すべての期間,A,年齢,A06,50代,69102
2025,すべての期間,A,年齢,A07,60代,70907
2025,すべての期間,A,年齢,A08,70代,67678
2025,すべての期間,A,年齢,A09,80代以上,54693
2025,すべての期間,B,男女,B01,男性,65480
2025,すべての期間,B,男女,B02,女性,63298
2025,すべての期間,C,同行者,C01,自分ひとり,53981
2025,すべての期間,C,同行者,C02,夫婦･パートナー,73600
2025,すべての期間,C,同行者,C03,家族･親族,67687
2025,すべての期間,C,同行者,C04,職場の同僚,58093
2025,すべての期間,C,同行者,C05,友人,56246
2025,すべての期間,C,同行者,C06,その他,68851
2025,すべての期間,D,職業,D01,会社員（小売業･飲食業･宿泊業）,68466
2025,すべての期間,D,職業,D02,会社員（その他）,68895
2025,すべての期間,D,職業,D03,会社役員,87201
2025,すべての期間,D,職業,D04,公務員･団体職員,67289
2025,すべての期間,D,職業,D05,農林漁業,81206
2025,すべての期間,D,職業,D06,自営業,71277
2025,すべての期間,D,職業,D07,専門職（開業医･弁護士･大学教授･政治家など）,82290
2025,すべての期間,D,職業,D08,パート･アルバイト･派遣社員,61181
2025,すべての期間,D,職業,D09,家事専業,61717
2025,すべての期間,D,職業,D10,学生,51360
2025,すべての期間,D,職業,D11,無職,55339
2025,すべての期間,D,職業,D12,その他,58038
2025,すべての期間,E,宿泊施設,E01,ホテル (洋室主体),77302
2025,すべての期間,E,宿泊施設,E02,旅館 (和室主体),72565
2025,すべての期間,E,宿泊施設,E03,自己所有の別荘･リゾートマンション,51843
2025,すべての期間,E,宿泊施設,E04,ペンション･民宿･貸別荘,69568
2025,すべての期間,E,宿泊施設,E05,キャンプ場,40330
2025,すべての期間,E,宿泊施設,E06,保養所･研修施設,50444
2025,すべての期間,E,宿泊施設,E07,会員制の宿泊施設,73714
2025,すべての期間,E,宿泊施設,E08,実家や親族･知人宅,39706
2025,すべての期間,E,宿泊施設,E09,民泊（有料の住宅宿泊）,76919
2025,すべての期間,E,宿泊施設,E10,車中泊,43094
2025,すべての期間,E,宿泊施設,E11,その他,58593
2025,すべての期間,F,宿泊数,F01,1泊,46844
2025,すべての期間,F,宿泊数,F02,2泊,74771
2025,すべての期間,F,宿泊数,F03,3泊,91979
2025,すべての期間,F,宿泊数,F04,4泊,90139
2025,すべての期間,F,宿泊数,F05,5泊,106241
2025,すべての期間,F,宿泊数,F06,6泊,99047
2025,すべての期間,F,宿泊数,F07,7泊,79639
2025,すべての期間,F,宿泊数,F08,8泊以上,86662
